,algorithm,dataset,K,bah_dist,fit_time,score_time,acc,balacc,auc
139,centralNervous_selected,centralNervous_selected,6,0.010504784987590356,0.34370216263665093,0.008745967458795618,0.6499999999999999,0.5,0.36559523809523814
140,centralNervous_selected,centralNervous_selected,6,0.04798473804437467,0.3338588979509142,0.00843994970674868,0.6444444444444444,0.49583333333333335,0.45125000000000004
141,centralNervous_selected,centralNervous_selected,6,0.179050804210208,0.3320804595947266,0.008432378150798656,0.6388888888888888,0.49166666666666664,0.47333333333333333
142,centralNervous_selected,centralNervous_selected,6,---,0.13622576925489638,0.09268618203975537,0.5833333333333334,0.5483333333333333,0.5616666666666668
143,centralNervous_selected,centralNervous_selected,6,---,8.887184990776909e-05,0.00949422695018627,0.6111111111111112,0.5229761904761905,0.6257738095238096
144,centralNervous_selected,centralNervous_selected,6,---,0.722516988824915,0.024445697702007527,0.5111111111111111,0.44059523809523804,0.5460119047619048
145,centralNervous_selected,centralNervous_selected,7,0.010504784987590356,0.35481585926479764,0.008582495318518745,0.6499999999999999,0.5,0.35327380952380955
146,centralNervous_selected,centralNervous_selected,7,0.03157223640700061,0.3532362249162462,0.008686497034849944,0.6444444444444444,0.49583333333333335,0.4366666666666667
147,centralNervous_selected,centralNervous_selected,7,0.13829529039645694,0.35665165053473574,0.00945492011529428,0.6444444444444444,0.49583333333333335,0.4611904761904762
148,centralNervous_selected,centralNervous_selected,7,---,0.1546150313483344,0.14612247988029764,0.5888888888888889,0.5566666666666666,0.5700000000000001
149,centralNervous_selected,centralNervous_selected,7,---,0.0,0.008908889470277008,0.6166666666666668,0.5645238095238095,0.622470238095238
150,centralNervous_selected,centralNervous_selected,7,---,0.7725222181390833,0.02729373301988766,0.5277777777777778,0.44952380952380955,0.5401190476190476
61,nottermantrans_selected,nottermantrans_selected,3,0.13109235385631543,0.1123287041982015,0.0051715786074414665,0.851190476190476,0.8555555555555555,1.0
62,nottermantrans_selected,nottermantrans_selected,3,0.09096506872643387,0.11188522974650066,0.005033641685674221,0.9642857142857143,0.9638888888888889,1.0
63,nottermantrans_selected,nottermantrans_selected,3,0.06273124973744423,0.11346552107069229,0.005054242081112332,0.9726190476190477,0.9722222222222222,1.0
64,nottermantrans_selected,nottermantrans_selected,3,---,0.043098100026448566,0.02067383939837232,0.8797619047619047,0.8833333333333333,0.9027777777777778
65,nottermantrans_selected,nottermantrans_selected,3,---,0.0,0.005043107050436514,1.0,1.0,1.0
66,nottermantrans_selected,nottermantrans_selected,3,---,0.19713004253528735,0.012445487357951977,1.0,1.0,1.0
67,nottermantrans_selected,nottermantrans_selected,4,0.13109235385631543,0.11739436255560981,0.005055516590306789,0.8785714285714283,0.8805555555555554,1.0
68,nottermantrans_selected,nottermantrans_selected,4,0.10688272803946887,0.1138414012061225,0.005109862780865327,0.9452380952380953,0.95,1.0
69,nottermantrans_selected,nottermantrans_selected,4,0.08998096814035353,0.11487991544935439,0.00498949451211058,0.9726190476190477,0.9722222222222222,1.0
70,nottermantrans_selected,nottermantrans_selected,4,---,0.04585293134053548,0.033597477424291915,0.9345238095238096,0.9333333333333333,0.9527777777777777
71,nottermantrans_selected,nottermantrans_selected,4,---,0.0,0.004949580740045618,1.0,1.0,1.0
72,nottermantrans_selected,nottermantrans_selected,4,---,0.22517008075007686,0.013557690897105653,1.0,1.0,1.0
73,nottermantrans_selected,nottermantrans_selected,5,0.13109235385631543,0.11934592988755967,0.005072861541936426,0.9083333333333333,0.9111111111111111,1.0
74,nottermantrans_selected,nottermantrans_selected,5,0.09767560406864756,0.11739577187432183,0.004974900204458354,0.9357142857142858,0.9416666666666667,1.0
75,nottermantrans_selected,nottermantrans_selected,5,0.09877051480221063,0.11742258071899414,0.005054991922260803,0.9726190476190477,0.9722222222222222,1.0
76,nottermantrans_selected,nottermantrans_selected,5,---,0.04807454215155707,0.05585023208900734,0.9535714285714287,0.9527777777777777,0.961111111111111
77,nottermantrans_selected,nottermantrans_selected,5,---,0.0,0.004994128221347007,1.0,1.0,1.0
78,nottermantrans_selected,nottermantrans_selected,5,---,0.2514161569100839,0.015132546179579119,1.0,1.0,1.0
79,nottermantrans_selected,nottermantrans_selected,6,0.13109235385631543,0.11962443987528483,0.004974143004711763,0.9083333333333333,0.9111111111111111,1.0
80,nottermantrans_selected,nottermantrans_selected,6,0.07482514780723287,0.11979484028286404,0.004990713095959322,0.9357142857142857,0.9388888888888889,1.0
81,nottermantrans_selected,nottermantrans_selected,6,0.0965828220052469,0.1204518847995334,0.005299947144072733,0.9821428571428572,0.9805555555555556,1.0
82,nottermantrans_selected,nottermantrans_selected,6,---,0.050473631752861875,0.08890749054190554,0.9630952380952382,0.9638888888888889,0.9722222222222222
83,nottermantrans_selected,nottermantrans_selected,6,---,0.0,0.0049586148909580565,1.0,1.0,1.0
84,nottermantrans_selected,nottermantrans_selected,6,---,0.28853828995316116,0.016973029193564207,0.9904761904761905,0.9916666666666667,1.0
85,nottermantrans_selected,nottermantrans_selected,7,0.13109235385631543,0.12112229665120443,0.005097219973434637,0.9166666666666666,0.9194444444444444,1.0
86,nottermantrans_selected,nottermantrans_selected,7,0.06391195542095081,0.12077599101596409,0.0051288707756701815,0.9452380952380953,0.9472222222222223,1.0
87,nottermantrans_selected,nottermantrans_selected,7,0.09123295440767482,0.12090535163879394,0.005060349717552279,0.9904761904761905,0.9888888888888889,1.0
88,nottermantrans_selected,nottermantrans_selected,7,---,0.054738924238416885,0.1342262265122967,0.9726190476190477,0.9722222222222222,0.9722222222222222
89,nottermantrans_selected,nottermantrans_selected,7,---,0.0,0.005060758119747962,1.0,1.0,1.0
90,nottermantrans_selected,nottermantrans_selected,7,---,0.32880509341204606,0.01955220704216035,0.9904761904761905,0.9916666666666667,1.0
