,algorithm,dataset,K,bah_dist,u1,sgma1,u2,sgma2,fit_time,score_time,acc,balacc,auc
50,KLN-Max,nottermantrans_selected,3,---,,,,,0.2082038720448812,0.01041024923324585,0.9166666666666666,0.9166666666666666,1.0
51,KLN-Avg,nottermantrans_selected,3,---,,,,,0.20620552698771158,0.00991057687335544,1.0,1.0,1.0
52,KDN,nottermantrans_selected,3,---,,,,,0.07628575960795085,0.04697096347808838,0.8888888888888888,0.888888888888889,0.888888888888889
53,kNN,nottermantrans_selected,3,---,,,,,0.0003326733907063802,0.010632289780510796,1.0,1.0,1.0
54,EKNN,nottermantrans_selected,3,---,,,,,0.40386072794596356,0.029352227846781414,1.0,1.0,1.0
55,KLN-Min,nottermantrans_selected,5,---,,,,,0.228192408879598,0.011576109462314181,0.8611111111111112,0.861111111111111,1.0
56,KLN-Max,nottermantrans_selected,5,---,,,,,0.23685320218404135,0.01090990834765964,1.0,1.0,1.0
57,KLN-Avg,nottermantrans_selected,5,---,,,,,0.21919767061869302,0.011187520292070176,1.0,1.0,1.0
58,KDN,nottermantrans_selected,5,---,,,,,0.08861088752746582,0.14946307076348198,0.9722222222222222,0.9722222222222223,0.9722222222222223
59,kNN,nottermantrans_selected,5,---,,,,,0.00033322970072428387,0.010826567808787027,1.0,1.0,1.0
60,EKNN,nottermantrans_selected,5,---,,,,,0.5000236299302843,0.03608875142203437,1.0,1.0,1.0
61,KLN-Min,nottermantrans_selected,7,---,,,,,0.245515505472819,0.01127069526248508,0.888888888888889,0.8888888888888888,1.0
62,KLN-Max,nottermantrans_selected,7,---,,,,,0.2341895898183187,0.011409501234690348,0.9722222222222222,0.9722222222222223,1.0
63,KLN-Avg,nottermantrans_selected,7,---,,,,,0.23918533325195312,0.012242423163519965,1.0,1.0,1.0
64,KDN,nottermantrans_selected,7,---,,,,,0.110260009765625,0.3808198438750373,0.9722222222222222,0.9722222222222223,0.9722222222222223
65,kNN,nottermantrans_selected,7,---,,,,,0.0003326733907063802,0.0113817916976081,1.0,1.0,1.0
66,EKNN,nottermantrans_selected,7,---,,,,,0.9058833916982015,0.06172102689743042,1.0,1.0,1.0
67,KLN-Min,nottermantrans_selected,9,---,,,,,0.3334615230560303,0.014962852001190186,0.8611111111111112,0.861111111111111,1.0
68,KLN-Max,nottermantrans_selected,9,---,,,,,0.32446638743082684,0.015573600927988688,1.0,1.0,1.0
69,KLN-Avg,nottermantrans_selected,9,---,,,,,0.32013607025146484,0.015379382504357232,1.0,1.0,1.0
70,KDN,nottermantrans_selected,9,---,,,,,0.1485750675201416,0.905522710747189,1.0,1.0,1.0
71,kNN,nottermantrans_selected,9,---,,,,,0.0,0.01340827676984999,1.0,1.0,1.0
72,EKNN,nottermantrans_selected,9,---,,,,,1.1395165390438504,0.08168091376622517,1.0,1.0,1.0
73,KLN-Min,Leukemia_selected,3,---,,,,,1.0856611728668213,0.02796878417332967,0.6805555555555555,0.5416666666666666,0.9577546296296297
74,KLN-Max,Leukemia_selected,3,---,,,,,1.071001927057902,0.028204762273364596,0.9027777777777778,0.861111111111111,0.9677662037037037
75,KLN-Avg,Leukemia_selected,3,---,,,,,1.0720024108886719,0.028940439224243164,0.8333333333333334,0.7592592592592592,0.9638117283950617
76,KDN,Leukemia_selected,3,---,,,,,0.3884263833363851,0.081824349032508,0.9166666666666666,0.8900462962962963,0.9268614969135802
77,kNN,Leukemia_selected,3,---,,,,,0.00033283233642578125,0.02773284912109375,0.9722222222222223,0.9606481481481483,0.9789448302469136
78,EKNN,Leukemia_selected,3,---,,,,,1.850520928700765,0.061628501724313806,0.9861111111111112,0.9814814814814815,0.9777777777777779
79,KLN-Min,Leukemia_selected,5,---,,,,,1.0703366597493489,0.03210514121585422,0.7777777777777777,0.6782407407407408,0.9725694444444445
80,KLN-Max,Leukemia_selected,5,---,,,,,1.138961394627889,0.028648879792955186,0.9305555555555555,0.8981481481481483,0.9777777777777779
81,KLN-Avg,Leukemia_selected,5,---,,,,,1.1126448313395183,0.029190235667758517,0.7222222222222222,0.6122685185185185,0.921875
82,KDN,Leukemia_selected,5,---,,,,,0.45438575744628906,0.20975902014308506,0.9722222222222223,0.9710648148148149,1.0
83,kNN,Leukemia_selected,5,---,,,,,0.0,0.0284268061319987,0.9722222222222223,0.9606481481481483,0.9789448302469136
84,EKNN,Leukemia_selected,5,---,,,,,2.1428955131106906,0.06513560039025766,0.9722222222222223,0.9606481481481483,0.9950617283950617
85,KLN-Min,Leukemia_selected,7,---,,,,,1.0130400657653809,0.025234384669197932,0.7638888888888888,0.6574074074074074,0.9849151234567901
86,KLN-Max,Leukemia_selected,7,---,,,,,1.0673389434814453,0.027635696861479018,0.9166666666666666,0.8819444444444443,0.9901234567901235
87,KLN-Avg,Leukemia_selected,7,---,,,,,1.0843284924825032,0.02523435155550639,0.7222222222222222,0.6018518518518519,0.9272183641975308
88,KDN,Leukemia_selected,7,---,,,,,0.42906713485717773,0.4221691820356581,0.9722222222222223,0.9710648148148149,1.0
89,kNN,Leukemia_selected,7,---,,,,,0.0,0.027205351326200698,0.9861111111111112,0.9814814814814815,0.9962962962962963
90,EKNN,Leukemia_selected,7,---,,,,,2.50134007136027,0.08340207404560512,0.9861111111111112,0.9814814814814815,0.9975308641975308
91,KLN-Min,Leukemia_selected,9,---,,,,,1.133631706237793,0.028912666771146987,0.763888888888889,0.6550925925925926,0.982175925925926
92,KLN-Max,Leukemia_selected,9,---,,,,,1.123638391494751,0.027871638536453247,0.9305555555555557,0.9027777777777777,0.9773726851851853
93,KLN-Avg,Leukemia_selected,9,---,,,,,1.1486222743988037,0.03067543109258016,0.6805555555555555,0.5416666666666666,0.9326967592592593
94,KDN,Leukemia_selected,9,---,,,,,0.4810346762339274,0.9199860062864091,0.9722222222222223,0.9710648148148149,0.997530864197531
95,kNN,Leukemia_selected,9,---,,,,,0.0,0.02848234110408359,0.9861111111111112,0.9814814814814815,0.9950617283950617
96,EKNN,Leukemia_selected,9,---,,,,,2.985040373272366,0.1107323732641008,0.9861111111111112,0.9814814814814815,0.9950617283950617
