att1,att16,att30,att35,att71,att84,att90,att94,att138,att147,att152,att162,att165,att184,att241,att265,att285,att304,att327,att329,att394,att411,att459,att464,att475,att577,att585,att631,att641,att699,att709,att719,att723,att724,att730
2,9.7586,11.869,11.4931,10.2336,8.95422,12.9673,9.54525,8.98254,9.571,7.48343,9.19647,7.07473,7.40468,6.97058,8.15454,7.3696,9.15313,8.49573,7.65853,7.77171,6.90812,7.03393,8.77927,6.46562,7.57428,8.59556,6.99797,7.6594,5.54692,6.79236,8.49573,7.81307,6.13789,4.4091
2,10.5363,11.4038,11.7305,9.85504,9.17473,12.3977,11.1219,9.47709,7.79032,7.75975,8.61759,8.33208,7.07886,8.9059,8.99672,7.92092,6.19689,6.96173,8.51329,8.10565,8.10127,7.92929,6.77883,7.26098,9.73798,8.76973,8.33283,7.44186,6.01031,6.39045,7.09974,8.22256,6.71638,5.79102
2,10.287,11.7349,12.2722,10.2312,9.03914,13.1264,12.0062,10.1634,7.82848,7.7757,8.56288,6.94189,8.33647,7.17815,8.74379,7.07738,8.84416,9.56481,8.021,8.29929,8.07503,7.94173,8.15453,6.52912,7.87873,10.0988,6.03007,7.69883,5.89022,7.89889,9.1809,8.20442,6.79647,4.22577
2,9.11987,9.92523,12.3571,10.8482,9.34161,12.0493,9.92041,8.79773,7.66305,7.13516,9.04496,6.7475,7.41531,6.96848,9.21573,7.17363,6.32809,9.51686,6.72732,7.59621,8.46248,7.35073,6.82951,6.06327,7.54941,7.27885,6.29924,7.52427,7.92261,9.62564,8.57845,7.44116,5.3669,4.41202
2,8.97558,10.5088,11.808,8.93343,9.87497,12.5687,9.83203,8.53087,9.3567,7.32513,8.34286,6.76697,7.21868,8.85236,9.68462,8.15602,6.56077,8.47221,7.77843,7.64409,7.93195,6.32922,6.92222,7.52614,7.49938,6.94505,6.39429,7.0632,5.64303,7.23165,7.91136,7.13902,5.08869,5.36052
2,10.0178,11.2968,12.2284,9.9882,8.89277,11.9492,8.90307,10.5566,8.35054,7.94186,8.66931,7.39408,7.41868,7.14303,9.00883,8.07965,6.40523,8.61002,7.85617,7.98703,7.84772,7.52507,6.65307,7.38112,7.36621,8.33031,6.1886,7.85604,8.01039,8.37366,8.12892,8.71913,5.84911,4.23084
2,9.4407,11.5466,11.5304,10.325,8.90168,11.4607,10.9785,8.44997,7.60957,7.92767,8.18218,8.19411,7.05436,8.19655,8.6045,7.35203,6.82092,8.51028,7.79646,7.7134,7.85304,7.00638,6.89654,5.33251,9.71115,8.01741,5.85929,7.36617,5.30049,6.73014,8.42878,7.44839,5.46385,4.09747
2,10.3186,11.6673,12.1486,9.23102,8.91916,12.4343,11.2799,10.1045,8.06165,7.86216,9.7548,6.56046,6.6992,7.14559,8.20854,7.7077,6.65222,7.24391,8.25066,7.80664,8.98054,7.71152,9.71522,6.62769,9.23323,8.84622,6.35638,7.66769,5.23288,6.97143,6.33788,8.12834,5.19855,4.54071
2,10.7073,11.7518,12.1412,10.0257,8.65972,10.7796,11.779,10.8267,8.64565,8.60969,9.55046,8.25453,6.8904,7.74202,8.8848,7.93918,6.97038,8.40698,8.58128,8.60469,8.70319,8.00216,6.59309,8.20298,9.83985,8.53304,5.86085,8.09933,5.01414,6.89176,7.90945,8.98882,5.40306,4.32596
2,9.81924,11.5601,11.7678,9.34508,10.0035,11.2734,10.4755,9.72508,7.63017,7.32006,9.58377,6.14555,8.36878,7.457,8.79205,7.19774,6.64614,9.64782,8.10705,7.90458,8.28209,6.9934,6.49378,7.14657,7.12793,7.16805,5.86955,8.0552,5.11495,8.38113,7.95629,8.36142,5.82244,4.75828
2,10.8843,11.5793,11.9178,10.3702,8.60596,12.269,10.4927,10.0053,8.26277,8.25615,9.72806,6.62792,7.53895,6.87549,8.92277,7.40205,6.69903,7.62571,8.15584,7.83256,9.13033,8.20016,7.36893,7.80822,7.57208,9.23512,5.78664,8.27342,6.39673,6.82704,6.89005,8.99253,5.389,4.80855
2,11.177,11.8002,11.8798,10.1374,8.38368,13.231,10.7045,9.98762,8.85768,8.96797,10.0534,6.94855,7.19321,6.87711,8.31337,8.1622,6.47346,8.57719,7.8609,7.92043,8.00952,8.04297,7.02339,6.94416,7.65035,9.04534,5.69047,7.9436,8.26665,7.25006,7.42543,8.49853,5.62009,4.15047
2,10.5897,10.5101,12.0675,8.81543,8.31533,11.1426,11.1257,10.4335,8.81004,8.06706,9.2547,6.8359,6.93785,7.01363,8.22142,7.77882,6.79376,7.93776,7.3494,8.23993,9.03244,8.09366,7.39162,7.62181,10.4483,9.01502,6.04184,8.32777,5.10278,7.26954,7.50554,8.98762,5.65079,4.29136
2,10.7226,11.2117,10.8291,10.5728,8.45957,12.7044,12.58,9.11747,7.6328,7.71464,8.57671,6.90563,7.54339,7.88485,8.7808,7.6488,9.05298,10.1066,8.53584,7.94639,7.93767,6.75893,10.0733,5.93905,7.60791,7.88931,5.98574,7.42993,5.09448,6.42616,8.81244,7.79731,6.24245,4.20785
2,10.4773,10.6429,11.9438,9.21479,8.20954,11.6598,10.4888,9.57696,8.22818,8.86997,8.78454,8.82864,7.60519,7.20346,8.00724,7.25762,7.88113,9.12509,7.48222,7.87338,8.54521,8.19127,10.3675,7.27521,8.90018,8.20244,5.98781,7.84526,5.48138,6.6871,8.72707,8.66485,5.83206,4.40446
2,10.3228,10.6671,11.5965,10.2092,8.79309,12.2057,12.3394,8.39103,7.16363,7.5484,8.22877,6.00558,8.09263,6.36107,9.10357,7.81483,6.72649,8.79492,8.98669,7.98918,8.00297,7.109,8.48864,6.12161,7.48473,6.9939,6.05355,7.05556,5.34341,6.53098,5.97338,7.68452,6.36248,4.22555
2,9.31693,11.3408,11.4239,9.66995,9.57631,10.5362,10.8854,9.87275,10.783,7.46483,11.8015,7.74807,7.2266,7.60785,8.58258,7.44977,7.45411,9.12011,7.14698,8.34167,7.71394,7.66777,7.87916,6.0509,8.5617,7.79743,5.98588,7.73584,5.28332,7.8748,8.63774,7.75226,5.24111,4.07825
2,9.5352,10.0391,11.6591,9.67376,10.0327,11.0108,11.5997,9.31084,7.30907,8.15222,10.3079,7.85447,7.42976,9.18184,9.08095,9.01507,6.06136,6.81992,8.52961,7.3939,7.36547,7.31976,6.55844,6.5388,9.3798,6.49417,5.72156,7.29544,8.14149,6.15793,8.24286,8.20347,5.34259,4.83936
2,10.0302,11.7885,11.8438,9.40301,8.67794,12.0798,10.2371,10.065,8.05146,8.77812,9.35093,6.795,7.33882,6.59112,8.19054,8.18717,8.09363,8.89732,7.82556,8.05776,8.74607,7.69048,7.30395,7.49307,8.36351,8.05656,6.05762,7.82796,7.1335,8.40022,7.53615,8.96311,5.39684,5.16725
2,10.4065,11.0859,12.6108,9.81232,8.70727,10.983,9.21767,9.98145,8.10149,7.93842,9.12173,8.45122,6.936,7.90919,8.41989,7.5983,6.79976,7.87099,8.85279,8.32374,8.51564,8.04297,10.7078,7.60578,9.17068,7.67458,7.20239,7.67131,5.39529,8.2142,7.66092,9.07136,6.02311,5.99701
2,9.94182,11.3416,12.068,10.5602,8.9306,11.6326,11.8918,8.90624,8.77387,7.97139,7.47514,8.40495,7.43552,7.39529,8.92937,8.01781,6.91257,7.70135,8.53933,7.29357,7.65333,8.03524,6.73918,6.16761,7.7089,7.58774,5.82103,7.23133,6.85947,7.31119,7.74836,7.77859,5.15889,4.16456
2,8.80019,11.8676,11.8491,9.82718,9.1059,12.1098,9.75523,8.47035,7.36591,7.50173,9.55763,8.16625,7.47001,8.13083,8.21329,8.05799,6.58971,10.8318,8.17076,7.71994,7.94613,6.80798,9.77834,6.68927,10.0376,8.62406,6.72893,6.80801,6.34718,6.52946,8.81966,7.91122,6.85691,4.96322
2,9.91496,11.2053,11.7562,9.65775,8.87063,11.9269,10.6879,8.7373,7.56859,7.34119,8.7036,7.50944,7.29516,7.74607,9.33125,7.84478,7.78547,9.39177,7.62852,7.71313,8.7517,7.24642,7.06102,6.7354,7.27109,7.2058,8.12236,7.06566,5.64525,9.79449,7.51554,8.55194,6.40461,6.00911
2,8.4783,11.4935,12.1677,10.0057,8.11248,12.0326,12.7536,9.30687,7.26423,6.82393,10.5085,6.93566,8.62109,7.17394,8.79362,7.40431,7.03813,8.31577,7.8929,9.09698,8.46853,6.71546,6.56692,6.00794,10.0333,9.72442,8.21929,6.8405,5.08864,6.34836,6.42695,7.32654,7.75205,5.73949
2,9.66311,10.836,12.0472,9.58121,8.94027,12.2713,11.6998,9.53345,7.21834,7.88899,9.60805,7.51983,7.82685,7.90958,9.42854,7.54329,6.34019,8.56105,7.28591,7.93501,9.35075,7.90427,6.78347,6.50396,7.40511,8.85115,6.26161,6.99104,5.19963,6.6057,7.10605,7.62435,5.52928,3.92835
2,10.3584,11.1198,12.2765,9.81558,9.73261,12.8134,10.487,10.3062,9.34362,7.53501,11.2677,6.93,8.53511,7.96117,9.29721,8.46705,6.52664,8.7254,8.08197,7.53233,9.48341,7.78327,10.0791,7.65835,7.65101,8.73003,5.35161,7.38755,7.30543,6.47852,8.59643,8.91114,5.7506,4.23529
2,10.3974,10.5204,11.4869,10.6107,9.74598,12.1797,9.7194,8.90215,7.7718,7.1924,10.5738,8.95433,6.94731,6.38812,10.1414,10.1308,9.86508,7.3633,7.34617,7.63489,7.72935,6.64797,6.63175,5.73656,8.54431,7.23895,7.89725,7.01032,7.3111,6.33868,7.86776,7.77461,4.99868,5.44019
2,11.1939,11.2606,12.2493,9.75231,8.53918,11.3971,9.39211,9.42717,8.48209,7.84519,10.0765,7.31341,7.39855,6.95473,8.15321,7.46524,7.41217,8.51051,8.33519,7.86348,8.80558,7.75505,9.25087,6.49551,7.48373,8.75138,5.94528,7.56997,4.94939,7.53411,7.56271,8.2303,5.6248,4.24075
2,8.88754,10.9384,12.8272,9.02185,9.33742,10.1362,10.1729,9.7766,7.38404,7.53011,8.41231,6.68698,7.21631,6.31782,9.16213,8.08316,6.59627,8.79066,6.79652,7.44575,9.09386,7.6696,6.4603,6.13957,8.0489,8.61328,6.44644,7.38022,4.89654,6.80496,7.1872,7.27558,4.95207,4.48674
2,10.2367,11.8717,11.5567,8.85785,8.5566,11.2382,9.97612,9.09317,8.53891,7.73963,9.79572,7.18709,7.68636,8.2016,8.34855,7.44303,7.51009,9.55074,8.73548,8.07159,8.13849,6.90048,10.6829,6.57218,7.20423,7.64134,5.81411,7.35464,5.50859,6.29829,6.31736,7.8443,5.48442,5.35044
2,9.92984,11.5174,11.4205,10.7408,9.86858,12.4827,11.3855,9.37511,7.36644,7.59728,8.03465,6.77369,8.43442,6.51816,9.72815,7.83069,6.11121,7.16845,8.40357,7.7392,8.43371,7.34145,7.06795,6.40391,8.29348,7.37697,7.55038,7.02041,5.54883,7.20571,7.22032,7.75955,6.14905,5.04106
2,10.299,10.8509,11.6602,10.1636,10.0371,10.593,9.81059,8.6103,7.25669,7.17211,11.6047,8.25005,7.19204,8.81797,9.02786,9.09637,6.66944,8.23763,9.3337,7.62247,8.50054,7.25279,9.97432,5.82129,7.02739,8.42785,5.84294,6.90912,7.77557,8.686,7.33311,7.36062,4.89133,4.30078
2,10.5619,11.3869,11.6468,9.52442,8.63623,12.6028,11.7421,9.41374,7.27217,9.32286,8.78856,8.42036,7.27248,7.45352,8.75866,7.21766,6.20736,6.88866,8.66279,7.64933,8.35462,7.77576,7.23387,6.93276,8.41354,7.40266,5.99683,7.14871,5.18083,6.27927,7.51419,8.06178,6.03881,6.56514
2,11.4279,11.485,11.7584,10.4791,9.47394,11.9277,11.6823,10.1353,8.39412,7.62955,8.08643,7.05616,6.83463,7.14475,9.21686,8.45342,6.21611,7.4156,8.89828,7.69192,7.84504,6.73364,6.58238,7.38243,8.23747,7.95491,5.62758,7.67501,9.59165,9.79405,7.39884,8.54197,6.55265,6.09914
2,9.83355,9.79659,11.7758,9.59568,10.1807,12.5504,10.1464,10.0428,7.76208,8.17796,8.42875,7.23095,7.90173,7.76988,8.69289,7.79202,6.0775,8.5163,7.77281,6.72713,7.93178,8.05426,11.2153,7.65654,7.50467,8.48072,5.42718,7.45491,8.48583,7.11974,8.41637,8.72707,4.81485,4.31717
2,9.11967,11.3379,12.0931,9.7666,9.9344,12.6881,11.3262,9.65477,10.2703,7.5093,10.6613,6.79344,8.11033,8.78687,9.34914,8.68539,8.26993,8.44429,7.30631,7.66782,7.05377,6.99054,9.17384,6.85653,7.91124,7.68074,5.81854,7.51359,5.60866,6.60639,8.43856,7.91383,5.89025,4.42719
2,10.6524,11.0241,11.417,10.6255,9.8961,12.9482,11.571,11.0666,9.84464,7.09746,9.36099,7.05113,7.38126,7.82094,8.99537,8.14136,6.14468,9.37609,8.86563,8.0651,8.51433,7.82778,10.3389,8.02273,7.27484,7.98832,5.69303,7.43118,6.66316,5.97787,9.31872,9.14303,7.20305,4.25763
2,10.4729,10.4105,11.7982,9.82487,9.91527,12.6636,11.4242,10.2081,8.31104,7.49745,10.4812,7.02048,7.53432,8.76223,9.32729,7.54562,6.71924,9.6711,8.38431,7.58976,8.58494,7.53132,10.6022,7.43171,8.29232,8.46724,5.765,7.28218,7.4472,9.18543,9.66827,8.78761,7.00968,4.3529
2,10.4076,11.4254,11.0577,9.80713,8.85035,12.309,12.6147,9.40584,8.56905,7.68245,9.79524,6.84889,7.67032,7.91293,8.55255,7.30511,7.41262,9.51703,8.53686,7.84056,8.67881,7.36294,7.45639,6.57643,9.36466,9.20735,6.34172,7.54178,5.00761,7.48482,7.59185,7.92486,6.03561,4.09835
2,10.0335,10.2741,11.8187,9.68803,8.94159,11.8769,8.26186,9.73677,7.30639,6.85755,10.2336,7.56038,7.55085,8.0259,8.04808,7.56212,6.59376,7.85125,7.56915,8.14925,8.42343,7.9888,7.23661,6.88213,7.64941,9.06751,6.79777,7.30503,6.61468,7.29925,5.67852,8.38538,5.06699,4.95137
1,12.1294,11.2635,10.8938,9.25821,8.70285,10.898,9.38494,12.3024,10.3758,8.79272,11.0925,6.18968,6.75054,7.31414,7.55173,7.46782,6.1356,9.7224,7.45025,9.06999,9.54781,9.34942,6.8822,9.98218,7.20036,10.581,5.38909,9.81522,5.54056,6.17108,9.04577,11.3689,5.1778,4.30491
